Class,precision,recall,f1-score,support
BENIGN,0.9993090886250864,0.9987445072190835,0.9990267181564159,15930.0
BOT,0.6666666666666666,0.7142857142857143,0.6896551724137931,14.0
BRUTE_FORCE,0.9906542056074766,1.0,0.9953051643192489,106.0
DOS_DDOS,0.9971295299605311,0.9978456014362657,0.9974874371859297,2785.0
PROBING,0.9930735930735931,0.9991289198606271,0.9960920538428137,1148.0
WEB_ATTACK,1.0,0.8823529411764706,0.9375,17.0
accuracy,0.99835,0.99835,0.99835,0.99835
macro avg,0.9411388473222256,0.9320596139963602,0.9358444243197003,20000.0
weighted avg,0.9983695343356958,0.99835,0.9983553415218852,20000.0
