Class,precision,recall,f1-score,support
BENIGN,0.7625072016882699,0.9676201272741213,0.8529052205510548,365196.0
BOT,0.0,0.0,0.0,3511.0
BRUTE_FORCE,0.9342926961715993,0.3330107422820091,0.4910102739726027,10333.0
DOS_DDOS,0.646564538146519,0.17623177860645098,0.2769706577955662,120943.0
PROBING,0.0,0.0,0.0,0.0
WEB_ATTACK,0.0,0.0,0.0,100.0
accuracy,0.7561264830038213,0.7561264830038213,0.7561264830038213,0.7561264830038213
macro avg,0.390560739334398,0.24614377469376356,0.27014769205320394,500083.0
weighted avg,0.7325105660347283,0.7561264830038213,0.6999814957738837,500083.0
