Model,Avg_F1,Avg_MCC,Avg_AUROC,Avg_Accuracy,Avg_Precision,Avg_Recall,Num_Evaluations,Min_F1,Max_F1,Std_F1,Robustness_Score,Stability,Rank
XGBoost,0.5866406662433736,0.3561011755417851,0.4335940593425671,0.8164912827767271,0.6256021575676146,0.623201117102718,4,0.2701476920532039,0.9361907334683298,0.3623858956390595,0.4868694976527358,0.6376141043609405,1
LightGBM,0.5333583575377355,0.2072122097399628,0.4599878280302425,0.756727210286125,0.485721322418895,0.5977532038430178,4,0.1315721757593888,0.9265843706876644,0.4169493478142284,0.4208404072969051,0.5830506521857717,2
Logistic Regression,0.24771280034479748,0.19238083445754023,0.42090288637735823,0.5307785598217932,0.37143281533972855,0.4050311154069679,4,0.0360836618585535,0.4522701635645798,0.17211394840624117,0.2657512277851325,0.8278860515937588,3
Extra Trees,0.10029793254707503,0.06497247313577803,0.41282516647945355,0.7859268183833518,0.642096169294235,0.10633343860571552,4,0.0016010080421005,0.1883765925181911,0.09244153596579188,0.15220574151016164,0.9075584640342081,4
Random Forest,0.0947078475648507,0.0575054092026661,0.43388973115000706,0.7855458148862166,0.6130878052912274,0.1034391030424056,4,0.0039960631377975,0.1863328546473558,0.09677734147826643,0.1513834927732266,0.9032226585217336,5
