Class,precision,recall,f1-score,support
BENIGN,0.9966164000167091,0.06532930262105828,0.12262068433834017,365196.0
BOT,0.0,0.0,0.0,3511.0
BRUTE_FORCE,0.04781737492653626,1.0,0.09127043714061106,10333.0
DOS_DDOS,0.005679614340333573,0.0016950133533978817,0.0026108496723702057,120943.0
PROBING,0.0,0.0,0.0,0.0
WEB_ATTACK,0.0,0.0,0.0,100.0
accuracy,0.06878058242331773,0.06878058242331773,0.06878058242331773,0.06878058242331773
macro avg,0.1750188982139298,0.1778373859957427,0.03608366185855357,500083.0
weighted avg,0.7301614519045457,0.06878058242331773,0.09206360715426015,500083.0
