Class,precision,recall,f1-score,support
BENIGN,0.9025112912008713,0.8059103813049271,0.8514797377357992,419533.0
BOT,0.0,0.0,0.0,8903.0
BRUTE_FORCE,0.0,0.0,0.0,11852.0
DOS_DDOS,0.3422841457184174,0.6623435379279143,0.45133076808896905,59679.0
PROBING,0.0,0.0,0.0,0.0
WEB_ATTACK,0.0,0.0,0.0,100.0
accuracy,0.7551668076477752,0.7551668076477752,0.7551668076477752,0.7551668076477752
macro avg,0.20746590615321478,0.2447089865388069,0.21713508430412806,500067.0
weighted avg,0.7980139562572707,0.7551668076477752,0.7682146946715033,500067.0
