Class,precision,recall,f1-score,support
BENIGN,0.7304162949866195,0.9999972617443783,0.8442077815201033,365196.0
BOT,0.0,0.0,0.0,3511.0
BRUTE_FORCE,0.0,0.0,0.0,10333.0
DOS_DDOS,0.9900990099009901,0.0008268357821453081,0.0016522917286276066,120943.0
WEB_ATTACK,0.0,0.0,0.0,100.0
accuracy,0.7304687421887966,0.7304687421887966,0.7304687421887966,0.7304687421887966
macro avg,0.3441030609775219,0.20016481950530474,0.16917201464974618,500083.0
weighted avg,0.7728530140364478,0.7304687421887966,0.6168998708185462,500083.0
