Class,precision,recall,f1-score,support
BENIGN,0.8726778507821099,0.9978905115926519,0.9310934200415675,419533.0
BOT,0.0,0.0,0.0,8903.0
BRUTE_FORCE,0.952423378474697,0.4509787377657779,0.6121163536417774,11852.0
DOS_DDOS,0.9951530612244898,0.06536637678245279,0.1226748848252331,59679.0
PROBING,0.0,0.0,0.0,0.0
WEB_ATTACK,0.0,0.0,0.0,100.0
accuracy,0.8556733397724705,0.8556733397724705,0.8556733397724705,0.8556733397724705
macro avg,0.4700423817468828,0.25237260435681375,0.277647443084763,500067.0
weighted avg,0.8734729910085436,0.8556733397724705,0.8102920873905824,500067.0
