Class,precision,recall,f1-score,support
BENIGN,0.8398912453726227,0.999928491918395,0.9129494257926499,419533.0
BOT,0.0,0.0,0.0,8903.0
BRUTE_FORCE,0.0,0.0,0.0,11852.0
DOS_DDOS,0.9494949494949495,0.009450560498667873,0.018714847444129212,59679.0
WEB_ATTACK,0.0,0.0,0.0,100.0
accuracy,0.8400214371274249,0.8400214371274249,0.8400214371274249,0.8400214371274249
macro avg,0.3578772389735144,0.20187581048341255,0.18633285464735583,500067.0
weighted avg,0.8179444013218662,0.8400214371274249,0.76815565680536,500067.0
