Dataset,Task_Type,Model,Accuracy,Precision,Recall,F1_Score,F1_Weighted,ROC_AUC,MCC,Prediction_Time_sec,Samples_Evaluated
Lycos,multiclass,Logistic Regression,0.06878058242331773,0.1750188982139298,0.1778373859957427,0.03608366185855357,0.09206360715426015,0.0,0.008678628652659838,0.2352313995361328,500083
Lycos,multiclass,Random Forest,0.730844679783156,0.31954916146504814,0.20053211680182947,0.16999215888196875,0.6179722675701866,0.0,0.037866812900811536,1.1990551948547363,500083
Lycos,multiclass,Extra Trees,0.7304687421887966,0.3441030609775219,0.20016481950530474,0.16917201464974618,0.6168998708185462,0.0,0.02311467207738031,1.7058711051940918,500083
Lycos,multiclass,XGBoost,0.7561264830038213,0.390560739334398,0.24614377469376356,0.27014769205320394,0.6999814957738837,0.0,0.2679371650211374,0.5799169540405273,500083
Lycos,multiclass,LightGBM,0.6458927817982215,0.11978013406826922,0.147734781977644,0.13157217575938887,0.5741731611096235,0.0,-0.1374021842730188,1.3852746486663818,500083
