Class,precision,recall,f1-score,support
BENIGN,0.864382535108638,0.9952947682303895,0.9252308595675849,419533.0
BOT,0.0,0.0,0.0,8903.0
BRUTE_FORCE,0.6927910052910053,0.8838170772865339,0.7767314251816699,11852.0
DOS_DDOS,0.3944020356234097,0.002597228505839575,0.005160474097749368,59679.0
PROBING,0.0,0.0,0.0,0.0
WEB_ATTACK,0.0,0.0,0.0,100.0
accuracy,0.8562632607230631,0.8562632607230631,0.8562632607230631,0.8562632607230631
macro avg,0.32526259600384216,0.31361817900379385,0.284520459807834,500067.0
weighted avg,0.7886652712144787,0.8562632607230631,0.7952507783794979,500067.0
