Class,precision,recall,f1-score,support
BENIGN,0.7057314280339734,0.8834899615548911,0.7846693183296712,365196.0
BOT,0.0,0.0,0.0,3511.0
BRUTE_FORCE,0.0,0.0,0.0,10333.0
DOS_DDOS,0.012949376375641966,0.0029187303109729375,0.004763736226662078,120943.0
PROBING,0.0,0.0,0.0,0.0
WEB_ATTACK,0.0,0.0,0.0,100.0
accuracy,0.6458927817982215,0.6458927817982215,0.6458927817982215,0.6458927817982215
macro avg,0.11978013406826922,0.147734781977644,0.13157217575938887,500083.0
weighted avg,0.518506789911463,0.6458927817982215,0.5741731611096235,500083.0
