Class,precision,recall,f1-score,support
BENIGN,0.7307381346909696,0.9998576107076748,0.8443729130245766,365196.0
BOT,0.0,0.0,0.0,3511.0
BRUTE_FORCE,0.0,0.0,0.0,10333.0
DOS_DDOS,0.8670076726342711,0.0028029733014725946,0.005587881385267114,120943.0
WEB_ATTACK,0.0,0.0,0.0,100.0
accuracy,0.730844679783156,0.730844679783156,0.730844679783156,0.730844679783156
macro avg,0.31954916146504814,0.20053211680182947,0.16999215888196875,500083.0
weighted avg,0.7433189146361903,0.730844679783156,0.6179722675701866,500083.0
