Class,precision,recall,f1-score,support
BENIGN,0.840373752372021,0.9996496104001353,0.9131180735483028,419533.0
BOT,0.0,0.0,0.0,8903.0
BRUTE_FORCE,0.0,0.0,0.0,11852.0
DOS_DDOS,0.8558823529411764,0.014628261197406123,0.02876488904265309,59679.0
WEB_ATTACK,0.0,0.0,0.0,100.0
accuracy,0.8404053856783191,0.8404053856783191,0.8404053856783191,0.8404053856783191
macro avg,0.3392512210626395,0.20285557431950832,0.18837659251819117,500067.0
weighted avg,0.8071772870336728,0.8404053856783191,0.7694965365903301,500067.0
